name,installationStatus,healthStatus,syncStatus,createdAt,finishedAt
codefresh-hosted-0,FAILED,HEALTHY,HEALTHY,18:03:32,18:23:36
codefresh-hosted-1,FAILED,HEALTHY,HEALTHY,18:03:41,18:23:47
codefresh-hosted-2,COMPLETED,HEALTHY,HEALTHY,18:03:50,18:16:16
codefresh-hosted-3,FAILED,HEALTHY,HEALTHY,18:03:59,18:24:07
codefresh-hosted-4,COMPLETED,HEALTHY,HEALTHY,18:04:08,18:14:37
codefresh-hosted-5,COMPLETED,HEALTHY,HEALTHY,18:04:19,18:19:27
codefresh-hosted-6,FAILED,HEALTHY,HEALTHY,18:04:29,18:24:37
codefresh-hosted-7,FAILED,HEALTHY,HEALTHY,18:04:39,18:24:45
codefresh-hosted-8,FAILED,HEALTHY,HEALTHY,18:04:49,18:24:45
codefresh-hosted-9,COMPLETED,HEALTHY,HEALTHY,18:04:59,18:18:50
codefresh-hosted-10,FAILED,HEALTHY,HEALTHY,18:05:09,18:25:16
codefresh-hosted-11,FAILED,HEALTHY,HEALTHY,18:05:20,18:25:26
codefresh-hosted-12,FAILED,HEALTHY,HEALTHY,18:05:31,18:25:37
codefresh-hosted-13,FAILED,HEALTHY,HEALTHY,18:05:41,18:25:45
codefresh-hosted-14,FAILED,HEALTHY,HEALTHY,18:05:51,18:25:56
codefresh-hosted-15,FAILED,HEALTHY,HEALTHY,18:06:01,18:26:07
codefresh-hosted-16,FAILED,HEALTHY,HEALTHY,18:06:11,18:26:16
codefresh-hosted-17,FAILED,HEALTHY,HEALTHY,18:06:20,18:26:29
codefresh-hosted-18,,,,18:08:26,
codefresh-hosted-19,,,,18:08:36,
